Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
Mohammed Siraj,9,,20,1,0,45,1,,Bangladesh,Mirpur,
Mohammed Siraj,2,,12,0,0,16.66,2,,Bangladesh,Mirpur,
Mohammed Siraj,7,,8,0,0,87.5,1,,Sri Lanka,Guwahati,
Mohammed Siraj,0,,3,0,0,0,1,,Australia,Visakhapatnam,
Mohammed Siraj,3,,5,0,0,60,2,,Australia,Chennai,
Mohammed Siraj,5,,19,0,0,26.31,1,,Sri Lanka,Colombo (RPS),
Mohammed Siraj,1,,8,0,0,12.5,2,,Australia,Rajkot,
